# theta phi
-6.200473293898775040e+01 1.236528179970397758e+02
3.877968020109322111e+01 5.307652425079709246e+01
-1.272952432696048248e+02 1.290619258439299983e+02
6.931909974273449393e+01 5.661014450280246280e+01
5.866041016169877764e+01 1.266556459413707643e+02
3.274035990847208666e+01 5.836533273252475595e+01
3.838158798185794041e+01 5.555096376455347951e+01
4.368524170808547780e+01 6.000209266280177900e+01
1.401152500497064750e+02 5.596364039041893079e+01
4.954090116541070188e+01 1.226088135020349057e+02
4.899270767244768621e+01 1.206334786561268118e+02
1.425954133459822231e+02 5.597461716647183749e+01
-1.391461514578954564e+02 5.671662398670812877e+01
1.561223661625648447e+02 1.198515552145430831e+02
-5.464765121109093116e+01 5.865372728575979977e+01
-1.270265024133968979e+02 1.209548089588753754e+02
5.621946121446598710e+01 5.556325782200479324e+01
3.712408467552307911e+01 6.177258557100815040e+01
-1.416962579156661377e+02 1.213910650814595584e+02
3.404809634994386158e+01 5.653559980796199369e+01
-1.338050435287005655e+02 1.159085920358869544e+02
4.024890982491487534e+01 5.677662788627446133e+01
-1.360272511721755677e+02 1.224144407708446067e+02
-5.546649968766883632e+01 5.630626393515171202e+01
6.129271905980656499e+01 5.616251350957401201e+01
5.716998914670958243e+01 5.642852513906834133e+01
-1.283089129789196363e+02 5.375425598141458039e+01
-5.301859675662943516e+01 1.216944856458324011e+02
5.394695086698102671e+01 1.258276519210440370e+02
-1.448707222816420312e+02 1.196225694361906591e+02
-1.404726789440714185e+02 5.867137378698670602e+01
4.977361593249037242e+01 5.463794211136877976e+01
-2.980269341019604568e+01 1.238673303510879293e+02
6.106358401666679470e+01 1.229014615230515801e+02
4.731765065674414217e+01 5.616345286702958362e+01
5.333538673199090141e+01 5.203688846818901226e+01
-1.265510035064994554e+02 1.219629613214859489e+02
-1.166293853550537278e+02 1.241295829504715300e+02
1.423238856003042656e+02 1.213194925051292472e+02
1.203967705885586383e+02 5.539261810552710585e+01
-3.518441610562828004e+01 5.894395092646244194e+01
4.425195897708308479e+01 5.710981010411194347e+01
-3.179831916048891927e+00 8.983849605728455856e+01
-5.610033874680132016e+01 1.199858085144800270e+02
1.499861457898803110e+02 1.245372023719432377e+02
4.669327693400008172e+01 1.238294275808563469e+02
-1.215129636854741193e+02 6.362890298399626232e+01
1.455158899782103958e+02 1.245105945508624217e+02
-6.471812048838098974e+01 1.242719786027170130e+02
1.464295394007530149e+02 1.214272949859785342e+02
1.492985022856756245e+02 1.184512746288643399e+02
-2.496194052898071192e+01 5.913582808996328311e+01
-1.305165159398103185e+02 1.213305257693114925e+02
-3.507329173776993514e+01 5.995631892926603257e+01
-1.250650217059210547e+02 1.243479203849630039e+02
-1.448809717020456276e+02 1.178010974688364172e+02
-4.451188572878680105e+01 1.221682161211792845e+02
-1.224958525250680879e+02 1.231036438413341330e+02
-1.399723936584293540e+02 1.219941597576926142e+02
5.277867949171170636e+01 1.217048111511866182e+02
3.949779476850962112e+01 1.214859198526722679e+02
-1.476461840054342645e+02 1.238483245447820735e+02
3.842583917033493179e+01 5.439606003704944470e+01
2.822237230385325191e+01 5.691310821971934786e+01
-5.377970252826969499e+01 1.214360576495576396e+02
-4.415695827320392652e+01 5.934968059092703641e+01
-4.157750337917737227e+01 1.232907826610284019e+02
1.442657072924954491e+02 1.268356763517880381e+02
1.179952670610122567e+02 5.634718200296021706e+01
-1.412203197989067860e+02 1.269234757492029075e+02
5.270475673039517517e+01 5.093807415607001587e+01
