#grainID	x	y	grainSize	perimeter	boundarySize	numNeighbors
506	-1.648899e+02	-1.327989e+02	1	2.771259e+00	6	3
507	-1.881351e+02	-1.199990e+02	357	1.367154e+02	296	6
508	-1.236132e+02	-1.263990e+02	147	7.482400e+01	162	2
509	-1.648899e+02	-1.335989e+02	1	2.771259e+00	6	3
510	-6.027489e+01	-1.347989e+02	1	2.771259e+00	6	3
511	-6.682152e+01	-1.148761e+02	296	1.200879e+02	260	22
512	-7.712417e+01	-1.191937e+02	903	1.265542e+02	274	8
513	-6.027489e+01	-1.355989e+02	1	2.771259e+00	6	3
514	-8.919113e+01	-1.248939e+02	316	7.574775e+01	171	13
515	-9.451726e+01	-1.309690e+02	80	4.156889e+01	90	5
516	-1.648899e+02	-1.347989e+02	2	4.618765e+00	10	2
517	-2.528774e+02	-1.355989e+02	1	2.771259e+00	6	2
518	-2.680924e+02	-1.281870e+02	373	7.712449e+01	155	9
519	-6.027489e+01	-1.363989e+02	1	2.771259e+00	6	2
520	-8.452340e+01	-1.359989e+02	1	2.771259e+00	6	2
521	-5.708794e+01	-1.358389e+02	5	1.016128e+01	22	2
522	-8.937311e+01	-1.371989e+02	1	2.771259e+00	6	1
523	-2.240328e+02	-1.215800e+02	1262	1.441055e+02	319	14
524	-5.888926e+01	-1.387989e+02	1	2.771259e+00	6	4
525	-5.856845e+01	-1.080774e+02	1529	3.990613e+02	875	46
526	-2.620895e+00	-1.348441e+02	84	3.247939e+01	62	3
527	-5.785003e+01	-1.389989e+02	2	4.618765e+00	10	4
528	-5.958207e+01	-1.391989e+02	1	2.771259e+00	6	4
529	-7.401571e+01	-1.365989e+02	18	2.678884e+01	58	2
530	-5.958207e+01	-1.399989e+02	1	2.771259e+00	6	2
531	-8.868029e+01	-1.399989e+02	1	2.771259e+00	6	2
532	-8.383059e+01	-1.411989e+02	1	2.771259e+00	6	1
533	-9.422281e+01	-1.407989e+02	1	2.771259e+00	6	2
534	-4.572578e+01	-1.363841e+02	27	4.618765e+01	100	2
535	-5.958207e+01	-1.415989e+02	1	2.771259e+00	6	1
536	-8.798748e+01	-1.419989e+02	1	2.771259e+00	6	2
537	-9.796450e+01	-1.346982e+02	282	1.441055e+02	319	8
538	-1.669684e+02	-1.419989e+02	1	2.771259e+00	6	1
539	-2.648382e+02	-1.365789e+02	314	7.879080e+01	163	6
540	-1.021727e+00	-1.404716e+02	21	1.634687e+01	30	2
541	-3.899867e+01	-1.342507e+02	224	6.743397e+01	146	6
542	-8.798748e+01	-1.427989e+02	1	2.771259e+00	6	2
543	-5.888926e+01	-1.435989e+02	1	2.771259e+00	6	1
544	-1.066935e+02	-1.423989e+02	3	6.466271e+00	14	1
545	-8.729466e+01	-1.439988e+02	1	2.771259e+00	6	1
546	-7.931739e+01	-1.385638e+02	245	9.237530e+01	207	11
547	-1.487242e+02	-1.412789e+02	30	2.217007e+01	48	2
548	-5.819644e+01	-1.455988e+02	1	2.771259e+00	6	1
549	-1.613269e+02	-1.458274e+02	14	1.662755e+01	36	3
550	-1.683540e+02	-1.467988e+02	1	2.771259e+00	6	1
551	-5.819644e+01	-1.471988e+02	1	2.771259e+00	6	1
552	-2.840541e+01	-1.491988e+02	1	2.771259e+00	6	2
553	-1.623890e+02	-1.478232e+02	41	3.233136e+01	70	4
554	-2.840541e+01	-1.499988e+02	1	2.771259e+00	6	5
555	-5.750363e+01	-1.499988e+02	1	2.771259e+00	6	3
556	-7.363631e+01	-1.438496e+02	252	7.020523e+01	152	8
557	-1.697396e+02	-1.499988e+02	1	2.771259e+00	6	2
558	-2.771259e+01	-1.503988e+02	1	2.771259e+00	6	3
559	-2.840541e+01	-1.507988e+02	1	2.771259e+00	6	4
560	-2.909822e+01	-1.503988e+02	1	2.771259e+00	6	3
561	-5.750363e+01	-1.507988e+02	1	2.771259e+00	6	3
562	-6.209487e+01	-1.455325e+02	193	5.265392e+01	142	15
563	-8.313777e+01	-1.503988e+02	1	2.771259e+00	6	3
564	-1.528592e+02	-1.393864e+02	337	7.759525e+01	168	9
565	-5.750363e+01	-1.515988e+02	1	2.771259e+00	6	3
566	-1.559778e+02	-1.475806e+02	44	3.325511e+01	72	7
567	-1.948348e+02	-1.329610e+02	1770	2.272432e+02	492	8
568	-1.967594e+02	-1.511988e+02	1	2.771259e+00	6	2
569	-2.306590e+02	-1.378801e+02	1003	1.376392e+02	298	11
570	-2.217007e+02	-1.511988e+02	1	2.771259e+00	6	2
571	-2.373535e+02	-1.432994e+02	199	9.514656e+01	206	6
572	-5.196111e+01	-1.523988e+02	1	2.771259e+00	6	3
573	-5.681081e+01	-1.519988e+02	1	2.771259e+00	6	3
574	-1.629500e+01	-1.511988e+02	25	2.401758e+01	52	2
575	-5.265392e+01	-1.527988e+02	1	2.771259e+00	6	3
576	-5.681081e+01	-1.527988e+02	1	2.771259e+00	6	3
577	-6.858866e+01	-1.506988e+02	8	1.478005e+01	32	4
578	-1.544977e+02	-1.517988e+02	8	1.108504e+01	24	3
579	-2.307073e+02	-1.531988e+02	1	2.771259e+00	6	2
580	-2.141103e+01	-1.443273e+02	408	9.145155e+01	198	5
581	-5.681081e+01	-1.535988e+02	1	2.771259e+00	6	3
582	-8.521622e+01	-1.539988e+02	1	2.771259e+00	6	2
583	-2.418553e+02	-1.520715e+02	22	2.309383e+01	50	3
584	-5.681081e+01	-1.543988e+02	1	2.771259e+00	6	3
585	-9.145155e+01	-1.543988e+02	1	2.771259e+00	6	2
586	-2.052567e+02	-1.496774e+02	117	4.064513e+01	88	4
587	-2.362498e+02	-1.547988e+02	1	2.771259e+00	6	3
588	-2.399494e+02	-1.474246e+02	303	8.221402e+01	178	9
589	-5.681081e+01	-1.551988e+02	1	2.771259e+00	6	2
590	-8.383059e+01	-1.555988e+02	1	2.771259e+00	6	2
591	-9.097367e+01	-1.473665e+02	303	6.373896e+01	156	19
592	-8.798748e+01	-1.551188e+02	5	1.016128e+01	22	3
593	-9.976533e+01	-1.536254e+02	30	2.678884e+01	58	4
594	-1.005159e+02	-1.510821e+02	48	4.156889e+01	90	4
595	-1.050010e+02	-1.500045e+02	140	5.542518e+01	120	5
596	-1.735034e+02	-1.443336e+02	668	1.210116e+02	276	18
597	-8.313777e+01	-1.559988e+02	1	2.771259e+00	6	2
598	-9.692479e+01	-1.546788e+02	30	2.124632e+01	46	3
599	-1.261380e+02	-1.371943e+02	2151	3.168473e+02	701	20
600	-4.522479e+01	-1.457114e+02	874	1.551905e+02	336	14
601	-7.194881e+01	-1.521988e+02	80	3.787387e+01	82	4
602	-1.147966e+02	-1.541428e+02	125	3.972138e+01	86	4
603	-2.097497e+02	-1.547891e+02	124	4.156889e+01	90	5
604	-5.542518e+01	-1.599987e+02	1	2.771259e+00	6	1
605	-1.175311e+02	-1.589987e+02	14	1.570380e+01	34	4
