,#grainID,x,y,grainSize,perimeter,boundarySize,numNeighbors,h(Gpa)
338,220.0,-146.9489,-49.84127,48.0,36.02637,78.0,5.0,0.0
339,221.0,-156.2927,-50.1996,22.0,31.4076,68.0,2.0,0.0
340,222.0,-257.4797,-50.48531,14.0,22.17007,48.0,7.0,0.0
341,223.0,-76.20963,-53.59957,1.0,2.771259,6.0,2.0,0.0
342,224.0,-247.9611,-49.05345,52.0,43.41639,94.0,3.0,0.0
343,225.0,-255.6487,-53.46624,3.0,6.466271,14.0,4.0,0.0
344,226.0,-13.7939,-35.47739,533.0,103.4603,243.0,12.0,0.0
345,227.0,-76.20963,-54.39956,1.0,2.771259,6.0,3.0,0.0
346,228.0,-76.20963,-55.19956,1.0,2.771259,6.0,3.0,0.0
347,229.0,-88.68029,-54.79956,2.0,4.618765,10.0,1.0,0.0
348,230.0,-109.8111,-54.19957,6.0,10.16128,22.0,3.0,0.0
349,232.0,-76.20963,-55.99955,1.0,2.771259,6.0,2.0,0.0
350,234.0,-89.37311,-56.79955,2.0,4.618765,10.0,1.0,0.0
