# rg size
1.752001457316821664e+00 1.000000000000000000e+01
1.330083435877304598e+00 7.000000000000000000e+00
9.567924771320738264e-01 3.000000000000000000e+00
7.878024439330800766e-01 2.000000000000000000e+00
1.460982887752151171e+01 4.500000000000000000e+02
1.248005235892258646e+01 2.040000000000000000e+02
1.415873385763968351e+01 3.670000000000000000e+02
8.966081555760784028e+00 2.170000000000000000e+02
1.008893848319564768e+01 1.120000000000000000e+02
1.354000902766085623e+01 1.170000000000000000e+02
3.758363153304845827e+00 4.100000000000000000e+01
4.075392678993878803e+00 3.300000000000000000e+01
8.152762011532665998e-01 2.000000000000000000e+00
1.470125267823817916e+00 8.000000000000000000e+00
1.600474713799465265e+00 8.000000000000000000e+00
1.219316904390982614e+00 3.000000000000000000e+00
1.224279122888560334e+00 3.000000000000000000e+00
7.207573180347297548e-01 2.000000000000000000e+00
1.464181578983845355e+01 4.620000000000000000e+02
1.255479314643962852e+01 2.080000000000000000e+02
1.410401121827600157e+01 4.980000000000000000e+02
8.573588991543138249e+00 1.970000000000000000e+02
9.335859976659026671e+00 9.800000000000000000e+01
3.884982482168564122e+00 4.100000000000000000e+01
4.053042509154503925e+00 3.100000000000000000e+01
9.924850514408143365e-01 3.000000000000000000e+00
1.713727397471415115e+00 8.000000000000000000e+00
1.752825773886476313e+00 1.000000000000000000e+01
7.103404606244410058e-01 2.000000000000000000e+00
1.462298530546372177e+01 4.540000000000000000e+02
1.265381201765080554e+01 2.090000000000000000e+02
1.408123268713501375e+01 5.050000000000000000e+02
8.499814601303270933e+00 1.700000000000000000e+02
4.599461414023170214e+00 7.800000000000000000e+01
1.361794392191038128e+01 1.000000000000000000e+01
3.741080736695689524e+00 4.000000000000000000e+01
4.025942932890290038e+00 3.400000000000000000e+01
8.599697348684985920e-01 3.000000000000000000e+00
1.463425773072239533e+00 4.000000000000000000e+00
1.480946343344442750e+00 8.000000000000000000e+00
1.545647153807965690e+00 6.000000000000000000e+00
7.276673518855655276e-01 2.000000000000000000e+00
1.459313515385640514e+01 5.040000000000000000e+02
1.416773794804229070e+01 5.470000000000000000e+02
3.497616166975509699e+00 1.400000000000000000e+01
5.971632830383747148e+00 1.100000000000000000e+01
4.785650894940966182e+00 4.400000000000000000e+01
9.970688737430731807e-01 5.000000000000000000e+00
1.795883938398525714e+01 7.000000000000000000e+00
8.468344000492858958e-01 3.000000000000000000e+00
1.049943807499830184e+00 5.000000000000000000e+00
2.586634892827198051e+00 2.000000000000000000e+01
1.525411690795992259e+00 4.000000000000000000e+00
