# itime ezz other fcc hcp bcc cubicDiamond hexDiamond
4.810000000000000000e+06 2.404019951432949942e-01 2.693589743589743790e-01 5.288644688644689174e-01 2.017765567765567869e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.910000000000000000e+06 2.453999576202865740e-01 2.684798534798534808e-01 5.210439560439560358e-01 2.104761904761904834e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.010000000000000000e+06 2.503979200972781816e-01 2.657692307692307576e-01 5.223260073260073133e-01 2.119047619047619013e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.110000000000000000e+06 2.553958825742697614e-01 2.533150183150182921e-01 5.322710622710622452e-01 2.144139194139194071e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.210000000000000000e+06 2.603938450512613412e-01 2.581501831501831767e-01 5.269413919413918901e-01 2.149084249084249054e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.310000000000000000e+06 2.653918075282529210e-01 2.598534798534798407e-01 5.307142857142856940e-01 2.094322344322344376e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.410000000000000000e+06 2.703897700052445008e-01 2.513553113553113616e-01 5.319597069597069572e-01 2.166849816849816812e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.510000000000000000e+06 2.753877324822360806e-01 2.514285714285714457e-01 5.197802197802198210e-01 2.287912087912087888e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.610000000000000000e+06 2.803856949592276604e-01 2.537545787545787412e-01 4.957875457875458025e-01 2.504578754578754562e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.710000000000000000e+06 2.853836574362192402e-01 2.622527472527472758e-01 4.676373626373626635e-01 2.701098901098901162e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.810000000000000000e+06 2.903816199132108200e-01 2.774725274725274859e-01 4.432417582417582658e-01 2.792857142857143038e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.910000000000000000e+06 2.953795823902023998e-01 2.826556776556776729e-01 4.169597069597069661e-01 3.003846153846153610e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.010000000000000000e+06 3.003775448671939796e-01 2.889926739926739763e-01 4.041391941391941356e-01 3.068681318681318881e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.110000000000000000e+06 3.053755073441855594e-01 2.886813186813186882e-01 4.022893772893773034e-01 3.090293040293040083e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.210000000000000000e+06 3.103734698211771392e-01 2.973076923076923284e-01 3.845604395604395598e-01 3.181318681318681119e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.310000000000000000e+06 3.153714322981687190e-01 2.960805860805860723e-01 3.720879120879120872e-01 3.318315018315018405e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.410000000000000000e+06 3.203693947751602988e-01 3.080036630036629974e-01 3.580402930402930561e-01 3.339560439560439464e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.510000000000000000e+06 3.253673572521518786e-01 3.172893772893772835e-01 3.515750915750915917e-01 3.311355311355311248e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.610000000000000000e+06 3.303653197291434584e-01 3.170329670329670169e-01 3.441941391941392148e-01 3.387728937728937684e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.710000000000000000e+06 3.353632822061350383e-01 3.123443223443223560e-01 3.411904761904762107e-01 3.464652014652014889e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.810000000000000000e+06 3.403612446831266181e-01 3.082600732600732640e-01 3.352014652014652096e-01 3.565384615384615263e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.910000000000000000e+06 3.453592071601181979e-01 3.111904761904761840e-01 3.289377289377289348e-01 3.598717948717948811e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.010000000000000000e+06 3.503571696371097777e-01 3.207692307692307510e-01 3.261172161172161132e-01 3.531135531135531358e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.110000000000000000e+06 3.553551321141013575e-01 3.282600732600732818e-01 3.216666666666666563e-01 3.500732600732600619e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.210000000000000000e+06 3.603530945910929373e-01 3.275091575091574891e-01 3.332234432234432164e-01 3.392673992673992944e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.310000000000000000e+06 3.653510570680845171e-01 3.202197802197802035e-01 3.372161172161172171e-01 3.425641025641025794e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.410000000000000000e+06 3.703490195450760969e-01 3.182783882783882801e-01 3.342857142857142971e-01 3.474358974358974228e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.510000000000000000e+06 3.753469820220676767e-01 3.282417582417582191e-01 3.264468864468864640e-01 3.453113553113553169e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.610000000000000000e+06 3.803449444990592565e-01 3.210073260073260104e-01 3.255128205128204888e-01 3.534798534798535008e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.710000000000000000e+06 3.853429069760508363e-01 3.070146520146520008e-01 3.406227106227106005e-01 3.523626373626373431e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
