# itime ezz other fcc hcp bcc ico
1.530000000000000000e+03 6.119972803783857440e-01 9.968138370505233992e-01 5.689576695493854790e-04 1.593081474738279385e-03 5.689576695493854790e-04 4.551661356395084266e-04
1.560000000000000000e+03 6.239972270524718478e-01 9.951069640418752638e-01 1.820664542558033706e-03 1.820664542558033706e-03 2.275830678197542133e-04 1.024123805188893906e-03
1.590000000000000000e+03 6.359971737265577296e-01 9.960172963131542767e-01 7.965407373691396923e-04 2.503413746017296455e-03 2.275830678197542133e-04 4.551661356395084266e-04
1.620000000000000000e+03 6.479971204006438334e-01 9.959035047792443862e-01 1.137915339098770958e-03 1.251706873008648227e-03 6.827492034592626399e-04 1.024123805188893906e-03
1.650000000000000000e+03 6.599970670747297152e-01 9.948793809740554828e-01 6.827492034592626399e-04 2.389622212107419402e-03 7.965407373691396923e-04 1.251706873008648227e-03
1.680000000000000000e+03 6.719970137488158191e-01 9.962448793809740577e-01 1.137915339098770958e-03 1.593081474738279385e-03 4.551661356395084266e-04 5.689576695493854790e-04
1.710000000000000000e+03 6.839969604229017008e-01 9.970414201183431802e-01 9.103322712790168532e-04 1.137915339098770958e-03 2.275830678197542133e-04 6.827492034592626399e-04
1.740000000000000000e+03 6.959969070969878047e-01 9.956759217114247162e-01 9.103322712790168532e-04 1.593081474738279385e-03 4.551661356395084266e-04 1.365498406918525280e-03
1.770000000000000000e+03 7.079968537710736864e-01 9.963586709148839482e-01 7.965407373691396923e-04 1.137915339098770958e-03 6.827492034592626399e-04 1.024123805188893906e-03
1.800000000000000000e+03 7.199968004451595682e-01 9.968138370505233992e-01 5.689576695493854790e-04 1.479289940828402332e-03 3.413746017296313199e-04 7.965407373691396923e-04
1.830000000000000000e+03 7.319967471192456721e-01 9.971552116522530707e-01 2.275830678197542133e-04 1.251706873008648227e-03 5.689576695493854790e-04 7.965407373691396923e-04
1.860000000000000000e+03 7.439966937933315538e-01 9.963586709148839482e-01 6.827492034592626399e-04 1.934456076467910759e-03 5.689576695493854790e-04 4.551661356395084266e-04
1.890000000000000000e+03 7.559966404674176577e-01 9.971552116522530707e-01 5.689576695493854790e-04 1.479289940828402332e-03 1.137915339098771066e-04 6.827492034592626399e-04
1.920000000000000000e+03 7.679965871415035394e-01 9.970414201183431802e-01 3.413746017296313199e-04 1.365498406918525280e-03 3.413746017296313199e-04 9.103322712790168532e-04
1.950000000000000000e+03 7.799965338155896433e-01 9.973827947200728516e-01 2.275830678197542133e-04 1.024123805188893906e-03 4.551661356395084266e-04 9.103322712790168532e-04
1.980000000000000000e+03 7.919964804896755250e-01 9.979517523896221931e-01 3.413746017296313199e-04 7.965407373691396923e-04 1.137915339098771066e-04 7.965407373691396923e-04
2.010000000000000000e+03 8.039964271637616289e-01 9.972690031861629611e-01 3.413746017296313199e-04 1.024123805188893906e-03 1.137915339098771066e-04 1.251706873008648227e-03
2.040000000000000000e+03 8.159963738378475107e-01 9.970414201183431802e-01 2.275830678197542133e-04 1.365498406918525280e-03 2.275830678197542133e-04 1.137915339098770958e-03
2.070000000000000000e+03 8.279963205119336145e-01 9.971552116522530707e-01 3.413746017296313199e-04 1.024123805188893906e-03 3.413746017296313199e-04 1.137915339098770958e-03
2.100000000000000000e+03 8.399962671860194963e-01 9.964724624487938387e-01 7.965407373691396923e-04 1.365498406918525280e-03 2.275830678197542133e-04 1.137915339098770958e-03
2.130000000000000000e+03 8.519962138601056001e-01 9.974965862539827421e-01 3.413746017296313199e-04 1.365498406918525280e-03 1.137915339098771066e-04 6.827492034592626399e-04
2.160000000000000000e+03 8.639961605341914819e-01 9.977241693218024121e-01 2.275830678197542133e-04 9.103322712790168532e-04 1.137915339098771066e-04 1.024123805188893906e-03
2.190000000000000000e+03 8.759961072082775857e-01 9.970414201183431802e-01 2.275830678197542133e-04 1.251706873008648227e-03 3.413746017296313199e-04 1.137915339098770958e-03
2.220000000000000000e+03 8.879960538823634675e-01 9.980655439235320836e-01 1.137915339098771066e-04 1.024123805188893906e-03 2.275830678197542133e-04 5.689576695493854790e-04
2.250000000000000000e+03 8.999960005564495713e-01 9.977241693218024121e-01 2.275830678197542133e-04 1.137915339098770958e-03 1.137915339098771066e-04 7.965407373691396923e-04
2.280000000000000000e+03 9.119959472305354531e-01 9.979517523896221931e-01 2.275830678197542133e-04 6.827492034592626399e-04 0.000000000000000000e+00 1.137915339098770958e-03
2.310000000000000000e+03 9.239958939046215569e-01 9.981793354574419741e-01 1.137915339098771066e-04 4.551661356395084266e-04 2.275830678197542133e-04 1.024123805188893906e-03
2.340000000000000000e+03 9.359958405787074387e-01 9.982931269913518646e-01 2.275830678197542133e-04 3.413746017296313199e-04 1.137915339098771066e-04 1.024123805188893906e-03
2.370000000000000000e+03 9.479957872527935425e-01 9.978379608557123026e-01 3.413746017296313199e-04 6.827492034592626399e-04 2.275830678197542133e-04 9.103322712790168532e-04
2.400000000000000000e+03 9.599957339268794243e-01 9.978379608557123026e-01 1.137915339098771066e-04 7.965407373691396923e-04 0.000000000000000000e+00 1.251706873008648227e-03
2.430000000000000000e+03 9.719956806009655281e-01 9.977241693218024121e-01 1.137915339098771066e-04 5.689576695493854790e-04 2.275830678197542133e-04 1.365498406918525280e-03
2.460000000000000000e+03 9.839956272750514099e-01 9.982931269913518646e-01 2.275830678197542133e-04 5.689576695493854790e-04 1.137915339098771066e-04 7.965407373691396923e-04
2.490000000000000000e+03 9.959955739491375137e-01 9.981793354574419741e-01 2.275830678197542133e-04 0.000000000000000000e+00 3.413746017296313199e-04 1.251706873008648227e-03
